"V1","V2","V3"
0.0383462429959229,-0.133491668403783,0
-5.87135497398991e-06,-0.110315629917593,0.00614309218150589
0.011435735396408,-0.158286435825604,0.0458225219761866
0.0138674675479746,-0.309911758917428,0.0600751535224711
0,-0.255817341486143,0.146817432839503
0,0.293706830859239,-0.0526956112667143
0,-0.436423005219534,-0.0275272756329299
0,-0.225817867929266,0
0,-0.376766869698418,0
0,-0.470534555877852,0.142065392037195
-0.028981623511185,0,0.0479472755659555
0,-0.205525315151979,0
-0.00023339374892233,-0.0652064219885638,0.455187236676356
-0.000153301516671586,0.0671592785313666,0.609282981389864
-6.2055245882653e-05,0.202974919952507,0.606844901120534
-0.00360432408663063,0,0
-0.504225055343118,0,0
-0.0831901763373896,0,0
-0.644660887602701,-0.012509337237144,-0.000418547571309645
-0.566217540840567,-0.00559760364192281,0
