"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
0.715433145366509,0.17270612240459,0.0547642419407851,0.12628433424593,0.100999335016806,0,0.0898648975177917,0,0,0,0,0,0,0,0,0,0,0,-0.116318755990686,-0.170364687063524
0.17270612240459,0.954331576161839,0.344080794765929,0.0757177343423279,0,0,0,0,0,0,0.138723104668918,0,0,0,0,0,0,0,0,0
0.0547642419407851,0.344080794765929,0.910339893667152,0.262905395014232,0.283024548437047,0,0.162448615458677,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12628433424593,0.0757177343423279,0.262905395014232,0.700505140898134,0.643889826635434,-0.0893483445586815,0.240618833159218,0,0,0.110066487296143,0,0,0,0,0,0,0,0,0,0
0.100999335016806,0,0.283024548437047,0.643889826635434,0.724993776000086,-0.0960620937756301,0.237873306456259,0,0,0.1474645468084,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.0893483445586815,-0.0960620937756301,0.737477145547229,-0.114421553257599,-0.00075197286426321,0,0,0,0,0,0,0,0,0,0,0,0
0.0898648975177917,0,0.162448615458677,0.240618833159218,0.237873306456259,-0.114421553257599,0.48109325294563,0.132802364836935,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-0.00075197286426321,0.132802364836935,0.858791921729427,-0.285000701264458,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.285000701264458,0.609378761720276,-0.0814818319137452,0,0,0,0,0,0,0,0,0,0
0,0,0,0.110066487296143,0.1474645468084,0,0,0,-0.0814818319137452,0.281900560041382,0,0,0,0,0,0,0,0,0,0
0,0.138723104668918,0,0,0,0,0,0,0,0,0.97656001733616,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.310378958252358,0,-0.144432709614296,-0.132471218243178,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.460175568167165,0.144219136615131,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-0.144432709614296,0.144219136615131,0.154654062788143,0.104658875352171,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-0.132471218243178,0,0.104658875352171,0.142036957238123,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991137033053286,0,0.0124720134440724,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.880018594845989,0,0.291683465881865,0.284103305628333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124720134440724,0,0.980074308042086,0,0
-0.116318755990686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291683465881865,0,0.71146244877501,0.540208324118307
-0.170364687063524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284103305628333,0,0.540208324118307,0.85833037380134
