"V1","V2","V3"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,-0.0963213053051122,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,-0.114704680132712
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0.00228615627954949,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-8.41862905169587,0.828786976088229,0
-19.0855637382976,-0.719948052250221,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0410163991609181
0,0,0
0.0824489621716815,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0470891875516143
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,-0.167055902406042,0.0073798608703455
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
18.0528178522827,-0.325962036274521,0
0,0,0
0,0,0
0,0,0
-0.0214384698980733,0,0
0,0,0
0,0,0
0,0,0
-1.77375715271901e-05,0,0
0,0,0
0,0,0
0,-0.0933593381171111,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0.0373766052359802,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,-0.0617750521008904
0,0,0
0,0,0
0,0,0
0,-0.121272254581412,0
0,0,0
-0.10790271102323,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-21.6038140755914,0.380531437880919,0
6.58283647352324,-1.48459767338303,0.0223511127234481
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.0161225650194943,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.366726001520864
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,-0.349700922748734,0
0.00747583341075727,0.170338669826174,0.124377452445224
0,0,0
0,-0.212105024516232,0
0.0358238268953967,0,0
0.000170856373739127,-0.170800053772527,0
0,-0.572213747474946,0
-0.0283173489700199,-0.0907594836934327,0.00519994399567655
0,0,-0.121322621135238
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
14.4579951999961,0.455911676330796,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,-0.038411176988724
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,-0.156107006434245,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.00692502906337732,0,0
0,0,0
0,-0.225080872339367,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-16.9348292178146,-0.559487032490855,0
24.1618805716532,0.842081378053508,-0.00347264725915928
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.104000583857302,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1.00226238817372
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.129325321075446,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
